7 17 19:40:41 <item4>	안녕하세요. 아직 많은분들이 안오셨네요
7 17 19:41:05 <item4>	그래도 일단 시작해보려고 합니다
7 17 19:41:34 *	wk has quit (Quit: )
7 17 19:41:43 <item4>	음..
7 17 19:41:48 *	변태중년_ has quit (Ping timeout: 121 seconds)
7 17 19:41:51 <item4>	일단 지난시간 과제부터 다시 풀어보도록 하겠습니다
7 17 19:42:15 <item4>	지난시간 과제는 화씨를 섭씨로 변환하는 문제였는데요
7 17 19:42:20 <grimb>	네
7 17 19:42:29 <item4>	과제는 다들 해보셨나요?
7 17 19:42:35 <ellif_w7>	저는 했습니다.
7 17 19:42:42 <lyn>	네
7 17 19:42:43 <dcdc>	하다가 에러가 많아서... 그냥 놓은 상태입니다.
7 17 19:42:55 <item4>	아, 반대로 말했군요. 섭씨를 화씨로네요
7 17 19:43:10 <grimb>	네 해 보았습니다.
7 17 19:43:18 <item4>	이번 과제가 난이도가 급상승했다는 말이 나와서
7 17 19:43:33 <item4>	이번 과제는 한번 다시 짚어보고, 응용 문제를 풀어보는식으로 해보도록 하겠습니다
7 17 19:43:57 <item4>	과제를 푸신분은 자신의 소스를 봐주시고
7 17 19:44:08 <item4>	과제를 못푸신분은 기본이 되는 소스를 열어주세요
7 17 19:44:09 *	wk (wk@*.*.*.*) has joined
7 17 19:44:09 *	ㅇㅈㅇ gives voice to wk
7 17 19:44:45 <item4>	시작하겠습니다
7 17 19:44:50 <grimb>	네
7 17 19:45:52 <item4>	먼저, 섭씨를 화씨로 바꾸려면
7 17 19:45:55 <item4>	공식을 알아야합니다
7 17 19:46:01 <item4>	공식은 그래서 안내를 드렸는데요
7 17 19:46:08 <item4>	°F = °C × 1.8 + 32
7 17 19:46:27 <item4>	여기서 °F 는 화씨를, °C는 섭씨를 말합니다
7 17 19:46:36 <item4>	int C=100;
7 17 19:46:45 <item4>	우리는 여기서 int형 변수 C를
7 17 19:46:47 *	mathieu (mathieu@*.*.*.*) has joined
7 17 19:46:47 *	ㅇㅈㅇ gives voice to mathieu
7 17 19:46:53 <item4>	섭씨 온도라고 가정하도록 하겠습니다
7 17 19:47:12 <item4>	그렇다면, 저기 섭씨 온도자리에
7 17 19:47:13 <grimb>	네
7 17 19:47:23 <item4>	변수 C를 대입하면 어떨까요
7 17 19:47:49 <item4>	F라는 변수에는 화씨를 저장하기로 했으니
7 17 19:48:01 <item4>	F=~~~; 의 형태가 한번은 나올것입니다
7 17 19:48:15 <item4>	마침 화씨가 좌변에 있으니 그대로 이용해보겠습니다
7 17 19:48:30 <item4>	F=C × 1.8 + 32
7 17 19:48:36 <item4>	x를 *로 바꾸면
7 17 19:48:48 <item4>	F=C*1.8+32가됩니다
7 17 19:49:25 <item4>	자, 그럼 이제 저장해서 정말 이대로 완성인건지 확인해볼까요?
7 17 19:50:22 <item4>	http://codepad.org/rhYT9j7b
7 17 19:50:27 <item4>	이렇게 해봅시다
7 17 19:51:25 <item4>	실행하면 몇이 나오나요?
7 17 19:51:38 <grimb>	212.000000
7 17 19:51:57 <lyn>	저렇게요
7 17 19:52:06 <item4>	네. 네이버에 검색해보셔도 알 수 있지만
7 17 19:52:10 <item4>	섭씨 100도는
7 17 19:52:13 <item4>	화씨 212도입니다
7 17 19:52:22 <item4>	문제의 답은 이것이었습니다
7 17 19:52:30 <item4>	여기서, 질문받겠습니다
7 17 19:52:45 <dcdc>	int main()
7 17 19:52:47 <dcdc>	{
7 17 19:52:47 <dcdc>		int C=100;
7 17 19:52:48 <dcdc>		float F;
7 17 19:52:49 <dcdc>		
7 17 19:52:51 <dcdc>		F=C*1.8+32
7 17 19:52:52 <dcdc>		
7 17 19:52:54 <dcdc>		printf("%f",F)
7 17 19:52:56 <dcdc>		
7 17 19:52:58 <dcdc>		return 0;
7 17 19:53:00 <dcdc>	}
7 17 19:53:02 <dcdc>	헉... 죄송합니다. ㅡㅡ;;
7 17 19:53:10 <item4>	괜찮습니다
7 17 19:53:16 <item4>	자, 지금 소스에서 뭐가 빠졌을까요
7 17 19:53:33 <lyn>	;요?
7 17 19:53:37 <item4>	각 구문은 ;로 끝내야 합니다
7 17 19:53:37 <grimb>		printf("섭씨 %i 도는 화씨 %f 도입니다.",C,F);
7 17 19:54:15 <item4>	즉, F=C*1.8+32 가 아니라
7 17 19:54:18 <item4>	F=C*1.8+32; 입니다
7 17 19:55:07 <item4>	같은 이유로 printf("%f",F)도
7 17 19:55:14 <item4>	printf("%f",F);라고 ;를 붙여주셔야만 합니다
7 17 19:55:36 <item4>	다른 질문은 있는지요
7 17 19:56:19 <dcdc>	저는 섭씨 d도는... 이라고 나오는데요?
7 17 19:57:03 <lyn>	%d라고 쓰시면 될거같아요
7 17 19:57:03 <item4>	소스 전체를 codepad.org로 올려주세요
7 17 19:58:09 <dcdc>	아하~ 되네요!
7 17 19:58:20 <item4>	자, 비슷한 문제 한번 풀어보겠습니다
7 17 19:58:37 <item4>	이번엔 화씨를 섭씨로 바꿔보도록 하겠습니다
7 17 19:59:08 <item4>	화씨를 섭씨로 바꾸는 공식은 °C = (°F - 32) / 1.8 입니다
7 17 19:59:12 <item4>	int F;
7 17 19:59:15 <item4>	float C;
7 17 19:59:18 <item4>	이 환경에서
7 17 19:59:24 <item4>	화씨 123도는 
7 17 19:59:32 <item4>	섭씨 몇도인지 구하는 소스를 짜보도록 하겠습니다
7 17 20:00:09 <item4>	8시 5분까지 혼자서 짜보고 같이 맞추보도록 하겠습니다
7 17 20:05:12 <item4>	5분이네요
7 17 20:05:17 <item4>	다들 답은 구하셨는지요
7 17 20:05:29 <dcdc>	또 못풀었네요... ㅡㅡ;;
7 17 20:05:44 <lyn>	칸이 비어서 나타나네요... 뭐가 잘못된걸까
7 17 20:06:09 <item4>	같이 풀어보도록 하겠습니다
7 17 20:06:09 <lyn>	50.555557eh
7 17 20:06:11 <lyn>	도 요
7 17 20:06:24 <item4>	int F=123; 일테고
7 17 20:06:30 <item4>	float C; 입니다
7 17 20:06:38 <dcdc>	저는 화씨 50.555557 도는 섭씨 {도입니다. 로 나와요.
7 17 20:06:53 <item4>	음
7 17 20:07:04 <item4>	dcdc, printf 한줄만 복사해서 여기로 붙여넣어주세요
7 17 20:07:39 <dcdc>	printf("화씨 %f 도는 섭씨 %c도 입니다.",F,C);
7 17 20:07:57 <item4>	지난시간 내용 복습인데요
7 17 20:08:09 <item4>	정수 출력은 %d, 문자 출력은 %c 입니다
7 17 20:08:21 <lyn>	아 그렇구나....
7 17 20:08:27 <item4>	%c를 %d로 바꾸셔야 합니다
7 17 20:08:43 <item4>	위에서 %i를 쓰신분이 계신데, %i도 가능합니다
7 17 20:09:09 <item4>	하지만 여러개를 오가면서 쓰면 햇갈리므로 저는 일괄적으로 %d만 사용하도록 하겠습니다
7 17 20:09:27 <item4>	자, 답은 모두 구하신건가요
7 17 20:09:37 <lyn>	네
7 17 20:09:38 <item4>	섭씨 123도는 50.55... 도입니다
7 17 20:09:45 <dcdc>	ㅡㅡ;;
7 17 20:10:04 <item4>	이 두번의 문제를 통해서
7 17 20:10:12 <item4>	공식 속에 대입하는 연습을 해봤습니다
7 17 20:10:25 <item4>	그런데, 실제로 온도를 계산해야할 일이 있다면
7 17 20:10:32 <item4>	지금같은 방식은 너무 불편합니다
7 17 20:10:41 <item4>	매번 소스를 고치고 컴파일하고 할 수는 없지요
7 17 20:11:04 <item4>	이제부터 정말 내가 프로그램을 만들고 있구나 싶은 일을 해보도록 하겠습니다
7 17 20:11:27 <item4>	다시, 섭씨를 화씨로 바꾸는 소스를 켜셔서
7 17 20:11:30 <item4>	개조를 해보도록 하게
7 17 20:11:33 <item4>	하겠습니다
7 17 20:12:07 <item4>	일단 여기선 먼저 소스를 보도록 하겠습니다
7 17 20:12:48 <item4>	http://codepad.org/uTbLR84S
7 17 20:12:56 <item4>	이 소스를 보면서 다른점을 찾아봅시다
7 17 20:13:59 <grimb>	scanf 가 다릅니다.
7 17 20:14:41 <item4>	int C;
7 17 20:14:45 <item4>	초기화 값을 빼버렸고
7 17 20:14:51 <item4>	scanf("%d",&C);
7 17 20:14:58 <item4>	처음 보는 표현이 하나 생겼습니다
7 17 20:15:23 <item4>	자, 일단 이름에서 보기에
7 17 20:15:25 <item4>	scan
7 17 20:15:30 <item4>	스캐너 같은 일을 하는것 같습니다
7 17 20:15:40 <item4>	f는 printf때처럼 포맷입니다
7 17 20:15:54 <item4>	그리고 앞엔 정말 포맷 문자열이 있습니다
7 17 20:16:25 <item4>	%d는
7 17 20:16:31 <item4>	좀전에 복습했듯
7 17 20:16:37 <item4>	정수 관련 포맷입니다
7 17 20:16:41 <item4>	그리고 쉼표 다음에는
7 17 20:16:48 <item4>	변수 C는 C인데
7 17 20:16:52 <item4>	&가 붙어있습니다
7 17 20:17:00 <item4>	&는 또 뭘까요
7 17 20:17:05 <item4>	일단 궁금한게 많겠지만
7 17 20:17:13 <item4>	저장하고 컴파일 후 실행을 해봅시다
7 17 20:17:44 <item4>	어떻게 나오나요?
7 17 20:19:20 <grimb>	아무것도 안 나옵니다. ㅠㅠ
7 17 20:19:24 <lyn>	아무것도..
7 17 20:19:34 <item4>	그런데 평소와 좀 다르지 않나요
7 17 20:19:45 <item4>	보통은 엔터를 치면 바로 꺼졌을텐데
7 17 20:19:49 <item4>	이젠 엔터를 쳐도 됩니다
7 17 20:19:55 <grimb>	계속 돌아가고 있습니다.
7 17 20:20:01 <item4>	자, 100을 써봅시다
7 17 20:20:06 <lyn>	오
7 17 20:20:07 <item4>	100이라 적고 엔터를 쳐보세요
7 17 20:20:17 <lyn>	뜨네요
7 17 20:20:20 <lyn>	212.000000
7 17 20:20:33 <dcdc>	저도요
