7 21 19:30:52 <item4>	안녕하세요.
7 21 19:31:00 <item4>	오늘은 약속대로, 30분에 바로 시작하도록 하겠습니다
7 21 19:31:16 <item4>	지난시간 배운거 생각나는대로 나눠보는 시간을 가져보도록 하겠습니다
7 21 19:31:43 <item4>	지난시간 배운것중 가장 인상깊은건 무엇인가요?
7 21 19:32:13 <dcdc>	네...
7 21 19:32:17 <NoBrain>	에..=_=
7 21 19:32:26 <NoBrain>	전 오늘 첫 참석이라 열심히 경청하도록 하겠습니다.
7 21 19:32:34 <Jstring>	링크거는거 신기했어요
7 21 19:32:36 <JW>	<h1~5> 와 <a href> 태그요
7 21 19:32:43 <item4>	네. 링크거는것을 했었죠
7 21 19:32:59 <item4>	h1 ~ 6 도 다뤄봤습니다
7 21 19:33:22 <item4>	전반적으로 위키 흉내를 내봤었는데요. 할만하셨는지요
7 21 19:33:29 <NoBrain>	아. HTML 태그 였네요.
7 21 19:33:31 <grimb>	네, 재밌었습니다.
7 21 19:33:31 <JW>	네ㅎ
7 21 19:33:45 <Jstring>	네! 괜찮았습니다ㅎㅎ
7 21 19:34:33 *	jason_ (jason@*.*.*.*) has joined
7 21 19:34:33 *	ㅇㅈㅇ gives voice to jason_
7 21 19:34:37 <item4>	지난시간 프로그래밍 그룹은 과제를 같이 풀어보는 시간을 가졌지만, 이번껀 다시 풀어볼만큼 어렵진 않았다고 생각하기에
7 21 19:34:53 <item4>	일단 진도를 더 나가보도록 하겠습니다
7 21 19:35:15 <JW>	넵
7 21 19:35:31 <item4>	오늘도 위키 흉내를 내봤으면 좋겠는데, 잠시만요
7 21 19:35:59 <NoBrain>	네
7 21 19:37:01 <item4>	적당한 문서 찾기가 힘들군요
7 21 19:38:18 <item4>	자, 그럼 우리가 익숙하게 보는 문서를 해보도록 하겠습니다
7 21 19:38:44 <item4>	https://github.com/item4/StudyGroup/tree/master/1%28130703%2C130707%29/Webpage/130714
7 21 19:38:58 <item4>	오늘은 이 문서를 따라해보도록 하겠습니다
7 21 19:39:23 <item4>	페이지를 다 따라하는건 역시 아니구요
7 21 19:39:28 <NoBrain>	네
7 21 19:39:33 <item4>	1기 온라인 ~
7 21 19:39:34 <item4>	부터
7 21 19:39:41 <item4>	우기시면 안됩니다.
7 21 19:39:46 <NoBrain>	ㅎㅎ
7 21 19:39:46 <item4>	까지를 따라해볼겁니다
7 21 19:39:52 <NoBrain>	넵
7 21 19:40:24 <item4>	자, 일단 이제까지 배운것이 여기에 뭐뭐가 있나 봐봅시다
7 21 19:40:38 <item4>	보이는걸 말씀해주세요
7 21 19:40:41 *	claire (709bf063@web/*.*.*.*) has joined
7 21 19:40:41 *	ㅇㅈㅇ gives voice to claire
7 21 19:40:56 <NoBrain>	H 태그랑... a 태그랑..
7 21 19:41:09 <JW>	p태그
7 21 19:41:09 <NoBrain>	요?
7 21 19:41:12 <NoBrain>	아
7 21 19:42:09 <item4>	음
7 21 19:42:18 <item4>	일단 h1, h2는 쓰이는것 같습니다
7 21 19:42:26 <item4>	item4 온라인 스터디 라는 부분에는 a도 보이네요
7 21 19:42:38 <item4>	근데, 나머지는 보니까 
7 21 19:42:41 <item4>	앞에 동그라미가 있습니다
7 21 19:42:55 <item4>	드래그래도 선택이 안됩니다. 한번 직접 확인해주세요
7 21 19:43:12 <JW>	네
7 21 19:43:19 <Jstring>	예 드래그 안되네요
7 21 19:43:21 <grimb>	네
7 21 19:43:35 <NoBrain>	네
7 21 19:43:41 <item4>	특성으로 보기에, 이건 아직 안배운 종류 같습니다
7 21 19:43:47 <item4>	오늘은 이것을 해볼 예정입니다
7 21 19:44:04 <item4>	사실 지난시간 따라했던 문서에도 슬쩍 나왔었는데
7 21 19:44:12 <item4>	일단 그때는 p인척 하고 넘어갔지만
7 21 19:44:16 <jason_>	아 근데 h태그 앞에 마우스 되면은 나타나는것 몬지 알 수 있습니까?
7 21 19:44:17 <item4>	저게 뭔지는 이번시간에 밝혀지는거죠
7 21 19:44:35 <item4>	h태그로 보이는것들 위에 마우스를 올리면
7 21 19:44:43 <item4>	무언가 앞에 생기는걸 볼 수 있는데요
7 21 19:44:51 <item4>	위키백과도 한번 봐볼까요
7 21 19:45:09 <item4>	위키백과는 안되네요. 음.. 어디가 있더라
7 21 19:45:24 <item4>	여튼, 문서에 일부분에 마우스를 올리면 무언가 나타나는 사이트들이 종종 보일겁니다
7 21 19:45:52 <item4>	당연히, HTML 본연의 기능은 아닙니다
7 21 19:45:56 <NoBrain>	아
7 21 19:45:57 <NoBrain>	네
7 21 19:46:32 <item4>	마우스를 올리는걸 css에선 hover, javascript에선 mouse 이벤트라고 하는데요
7 21 19:46:52 <item4>	이번껀 움직이는 효과가 있으므로 javascript로 예상할 수 있습니다
7 21 19:47:25 <item4>	자, 다시 본론으로 돌아와봅시다
7 21 19:47:34 <item4>	앞에 점이 붙은 저것은
7 21 19:47:40 <item4>	무언가를 나열하고 있는것 같습니다
7 21 19:48:55 <item4>	우리는 이렇게 나열해서 출력하는걸
7 21 19:48:59 <item4>	목록이라고 부르죠
7 21 19:49:32 <JW>	넵
7 21 19:49:41 <NoBrain>	목록 네
7 21 19:50:03 <item4>	이번에는 목록을 따래해보겠습니다
7 21 19:50:28 <item4>	이번시간에는 목록을 세가지 다뤄볼겁니다
7 21 19:50:33 <item4>	두가지는 일반적으로 배울 수 있는데
7 21 19:50:43 <item4>	나머지 하나는 왠진 몰라도 건너 뛰는 물건입니다
7 21 19:51:23 <item4>	자, 일단 그 종류부터 말씀드리자면
7 21 19:51:27 <item4>	1. 순서가 있는 목록
7 21 19:51:31 <item4>	2. 순서가 없는 목록
7 21 19:51:34 <item4>	3. 정의 목록
7 21 19:51:49 <item4>	.. 문제, 제가 위에 쓴 목록은 세가지중 어떤 목록일까요
7 21 19:52:18 <jason_>	3
7 21 19:52:25 <호크마>	2
7 21 19:52:47 <grimb>	3
7 21 19:52:49 <Jstring>	2
7 21 19:53:04 <item4>	다들 고도의 낚시 아닐까 하고 경계하고 계신것 같은데
7 21 19:53:09 <item4>	답은 1번입니다
7 21 19:53:14 <item4>	1,2,3 순서대로 적어놓았죠
7 21 19:53:18 <item4>	순서가 있는 목록입니다
7 21 19:53:33 <호크마>	...아 그 위가 저 위였군요...
7 21 19:53:42 <Jstring>	ㅎㅎ저도 착각을
7 21 19:53:49 <item4>	만약, 제가 이렇게 적었다면 어떻게 될까요
7 21 19:53:52 <grimb>	저도..ㅎㅎ
7 21 19:53:55 <item4>	- 순서가 있는 목록
7 21 19:53:58 <item4>	- 순서가 없는 목록
7 21 19:54:00 <item4>	- 정의 목록
7 21 19:54:16 <item4>	자, 이러면 몇번째것에 속할까요
7 21 19:54:17 <Jstring>	2
7 21 19:54:24 <grimb>	2
7 21 19:54:27 <호크마>	2
7 21 19:54:28 <jason_>	2
7 21 19:54:32 <NoBrain>	2
7 21 19:54:35 <NoBrain>	3333
7 21 19:54:40 <item4>	네. 이번엔 2입니다
7 21 19:54:43 <NoBrain>	헉
7 21 19:54:44 <NoBrain>	-ㅁ-
7 21 19:55:01 <item4>	먼저, 만만한(?) 2번부터 해보겠습니다
7 21 19:55:12 <item4>	html 기본 폼을 작성해주시고
7 21 19:55:34 <item4>	    Whitespace
7 21 19:55:34 <item4>	    HTML, CSS, Javascript
7 21 19:55:34 <item4>	    block과 inline
7 21 19:55:34 <item4>	    헤드라인
7 21 19:55:34 <item4>	    의미 부여
7 21 19:55:34 <item4>	    위키 따라하기
7 21 19:55:41 <item4>	이 목록을 작성해볼건데요
7 21 19:56:01 <item4>	일단 p를 써서 나열만 해봅시다
7 21 19:58:38 <item4>	http://jsfiddle.net/V7cLs/
7 21 19:58:42 <item4>	이런식이 되려나요
7 21 19:58:46 <item4>	(오른쪽 하단을 봐주세요)
7 21 19:59:09 <item4>	근데 이래선 목록이 아니라 문단이 여러개 있을 뿐입니다
7 21 20:00:10 <item4>	우리는 생각해봅니다
7 21 20:00:26 <item4>	아, 귀찮은데, 이걸 자동으로 목록으로 인식해주면 안되나?
7 21 20:00:41 <item4>	하지만 컴퓨터는 바보상자입니다. 그런 친절한 기능은 탑재되어있지 않습니다
7 21 20:01:03 <item4>	컴퓨터에게 알려줘야 하는건 두가지가 있습니다
7 21 20:01:13 <item4>	어디서부터 어디까지가 목록에 들어갈건지와
7 21 20:01:23 <item4>	어떤것들이 목록의 내용인지 구분해줘야합니다
7 21 20:02:03 <grimb>	네
7 21 20:02:16 <item4>	첫번째 역할을 하는게 list를 정의해주는 태그, 여기서 써볼건 ul 이구요
7 21 20:02:25 <item4>	두번째 역할을 하는건 li 라는 태그입니다
7 21 20:03:29 <item4>	http://jsfiddle.net/V7cLs/2/
7 21 20:03:32 <item4>	이렇게 고쳐봅시다
7 21 20:03:38 <item4>	결과물은 오른쪽 하단
7 21 20:03:43 <item4>	소스는 왼쪽 위를 봐주세요
7 21 20:04:38 <item4>	자, 다 확인 하셨나요
7 21 20:04:48 <NoBrain>	네
7 21 20:04:50 <item4>	자신의 컴퓨터에도 소스를 저장해서 같은 결과가 나오나 확인해봅시다
7 21 20:06:38 <grimb>	네,. 확인하였습니다.
7 21 20:06:56 <item4>	자, 이제 앞에 동그라미가 붙어 나오는걸 확인할 수 있습니다
7 21 20:07:15 <item4>	ul은 unordered list의 약자이구요
7 21 20:07:21 <item4>	li는 list 의 약자입니다
7 21 20:07:39 <item4>	소스를 보면 이렇습니다
7 21 20:07:43 <item4>	    <ul>
7 21 20:07:43 <item4>	    <li>Whitespace</li>
7 21 20:07:43 <item4>	    <li>HTML, CSS, Javascript</li>
7 21 20:07:43 <item4>	    <li>block과 inline</li>
7 21 20:07:43 <item4>	    <li>헤드라인</li>
7 21 20:07:43 <item4>	    <li>의미 부여</li>
7 21 20:07:43 <item4>	    <li>위키 따라하기</li>
7 21 20:07:43 <item4>	    </ul>
7 21 20:07:52 <item4>	전체적으로 ul이 감싸주고 있고
7 21 20:07:58 <item4>	각 항목은 li로 감싸져있습니다
7 21 20:08:35 *	환상경 (khmirage@*.*.*.*) has joined
7 21 20:08:36 *	ㅇㅈㅇ gives voice to 환상경
7 21 20:08:43 <item4>	그 결과가 이렇게 나왔는데 여기까진 이해 되시나요
7 21 20:08:51 <claire>	넵
7 21 20:09:05 <item4>	자 그럼 이제 이걸
7 21 20:09:06 <grimb>	네
7 21 20:09:11 <item4>	순서가 있는 목록으로 바꿔보겠습니다
7 21 20:09:36 <dcdc>	네
7 21 20:09:44 <item4>	ul을 ol 로 바꿔주세요
7 21 20:10:18 <item4>	http://jsfiddle.net/V7cLs/3/
7 21 20:10:22 <item4>	이렇게 바꾸시면 됩니다
7 21 20:10:32 <NoBrain>	오호
7 21 20:11:01 <grimb>	번호가 생겼습니다.
7 21 20:11:12 <item4>	이번엔 앞에 번호가 붙었습니다
7 21 20:11:15 <dcdc>	오
7 21 20:11:30 <item4>	드래그 해보면 숫자는 선택도 안되는걸 확인할 수 있습니다
7 21 20:11:46 <claire>	넹넹
7 21 20:11:49 <dcdc>	네네
7 21 20:11:56 <item4>	이것이 ol과 ul입니다
7 21 20:12:04 <item4>	자, 그럼 한번 실습을 해봅시다
7 21 20:12:09 <item4>	https://github.com/item4/StudyGroup/tree/master/1%28130703%2C130707%29/Webpage/130714
7 21 20:12:10 <item4>	에서
7 21 20:12:11 <item4>	나머지
7 21 20:12:25 <item4>	사용파일과 저작권 파트를 자기손으로 목록태그로 나열해보되
7 21 20:12:32 <item4>	사용파일은 순서가 없는 목록
7 21 20:12:39 <item4>	저작권은 순서가 있는 목록으로 표현해보세요
7 21 20:13:01 <item4>	공지사항 부분은 과제라고 써놓긴 했는데
7 21 20:13:07 <item4>	그냥 지금 해치웁시다
